registration,type,mtow_kg
TUTST,Q400,80
TUTTI,B737,80
5HTCI,A223,68
5NEZU,H25B,12
5TCLL,E195,41
5TCLO,E170,41
5YCYA,B738,80
5YCYB,B738,80
5YCYD,B738,80
5YFDF,PC12,5
5YKYE,B738,80
5YKYF,B738,80
6VAKO,FURY,7
6VAMA,A319,70
6VAMB,A319,67
6VHAE,A139,7
9GAEH,AS65,4
9GAGL,B734,69
9GGAS,JS31,8
9GNHG,S365,5
9GNHH,S365,4
9HAEO,A320,77
9HDUV,F2TH,20
9HMAJ,CL60,22
9HVFI,CL60,22
9HYOU,CRJ2,25
A6CAG,GLEX,46
A6CBO,GLEX,46
A6EBW,B773ER,350
A6ECA,B773ER,350
A6ECC,B773ER,352
A6ECD,B773ER,352
A6ECJ,B773ER,352
A6ECK,B773ER,352
A6ECM,B773ER,352
A6ECQ,B773ER,352
A6ECR,B773ER,352
A6ECS,B773ER,352
A6ECV,B773ER,352
A6ECW,B773ER,352
A6ECX,B773ER,352
A6EGB,B773ER,352
A6EGF,B773ER,352
A6EGI,B773ER,341
A6SHJ,A320,75
CGEAJ,DC3,14
CNRGF,B738,79
CNRGG,B738,79
CNRGJ,B738,78
CNRGK,B738,78
CNRGM,B738,80
CNRGN,B737,76
CNRGV,B738,79
CNRNJ,B738,79
CNRNP,B738,79
CNRNU,B738,75
CNRNV,B737,70
CNRNW,B738,78
CNROH,B738,79
CNROJ,B738,79
CNROL,B738,78
CNROR,B738,79
CNROS,B738,62
CNROZ,B738,62
CNTKC,HS125,13
CSTVD,A320,68
DANSK,CRJ2,25
DAONE,CL60,22
DCFAX,LJ35,12
DCPMU,LJ60,11
DCSIX,LJ60,11
ECNHF,B752,110
ECNIU,B752,110
EJROXY,CL60,22
ETALO,B763,187
ETANG,B737,71
ETANH,B737,71
ETAOK,B737,71
ETAOR,B788,228
ETAOS,B788,228
ETAQO,B738,80
ETAQQ,B738,80
ETARE,B788,228
ETARF,B788,228
ETASI,B788,228
ETATG,B78R,220
ETATH,B78R,220
ETATI,B78R,220
ETATJ,B78R,220
ETATK,B78R,220
ETATL,B78R,220
ETATU,B738,80
ETATV,B738,80
ETAUB,A359,275
ETAUP,B789,254
ETAUQ,B789,245
ETAVO,B737,70
ETAVP,B737,70
ETAVX,B738,55
ETAXI,B738,80
ETAXO,B738M,71
EW412TH,IL76,180
FGKOM,F900,22
FGPGA,H25B,13
FGSQC,B773,330
FGSQD,B773,345
FGSQE,B773,345
FGSQK,B773,330
FGSQU,B773,345
FGSQV,B773,345
FGSQY,B773,345
FGUOB,B77F,348
FGZNA,B773,345
FGZNC,B773,345
FGZND,B773,345
FGZNE,B773,345
FGZNH,B773,345
FGZNJ,B773,345
FGZNQ,B773,345
FHALG,F2TH,20
FHAXA,F900,23
FHAYA,F900,21
FHCAT,A332,233
FHEBO,F900,21
FHFKD,E135,22
FHICU,HS125,13
FHJAZ,A333,233
FHLTI,F2TH,32
FHREG,F900,21
FHROK,A333,233
FRADB,A313,157
FRADC,A313,157
FRAGD,C160,51
FRBAN,A418,141
FRBAO,A418,141
FUJCS,A332,230
FYDAM,FA50,19
HBJWB,CL60,22
J2HPV,FA7X,32
LXEBO,FA8X,34
LXEVM,F50,20
MALEN,E135,25
N163PA,GLF3,31
N168PA,GLF3,32
N190BE,B190,5
N198PA,GLF3,32
N220LC,CL60,22
N284SE,GLF2,18
N297PJ,GLF4,34
N48GL,GLF4,33
N501HM,GLF5,38
N588TN,G5,42
N59EH,PA31,3
N68WG,B350,7
N737AT,B737,71
N768KD,CN35,16
N927JA,GLF4,34
ODMEA,A332,220
ODMEB,A332,220
ODMEC,A332,220
ODMED,A332,220
OODOG,F900,23
OOSFB,A333,215
OOSFC,A333,215
OOSFD,A333,233
OOSFE,A333,215
OOSFF,A333,215
OOSFH,A333,233
OOSFX,A333,215
P4LTI,A319,71
RA74016,AN72,32
T2101,CN35,24
T2107,C295,21
T2109,C295,21
T2111,C295,21
T2113,C295,21
T7EDV,PC12,5
T7MJJ,CL60,22
TCJNB,A332,233
TCJND,A332,233
TCJNO,A333,233
TCJYA,B739,86
TCJYB,B739,86
TCJYD,B739,86
TCJYE,B739,86
TCJYH,B739,86
TFAMU,B744,397
TSIMO,A319,76
TSIMQ,A319,76
TSIMS,A320,77
TSIMT,A320,77
TSIMV,A320,77
TSIMW,A320,77
TTDIT,F900,22
TUGGY,PC12,5
TUGKH,C182,2
TUHAB,S350,3
TUHAC,S365,4
TUHAD,S365,3
TUHAF,SA 365,4
TUHAJ,S350,3
TUHAK,S350,2
TUHAL,S365,4
TUHAM,S350,2
TUHNE,AS65,4
TUHNH,AS65,4
TUTHN,AS55,3
TUTKL,C150,1
TUTLB,P28A,2
TUTLR,PA32,2
TUTOP,PA24,2
TUTOV,C172,2
TUTRC,A319,68
TUTRN,AT72,22
TUTSB,A319,70
TUTSH,BE20,6
TUTSI,DHC8,30
TUTSK,DH8D,30
TUTSL,DH8D,30
TUTSQ,DHC8,30
TUTSV,A320,78
TUTSW,A320,68
TUVAD,GLF4,30
TUVAE,GLF5,41
TUVAF,GLF3,30
TUVAQ,B350,7
TUVAS,A319,67
TUVHL,MI24,8
TUVHN,MI8,4
TUVHP,MI24,8
TUVHS,MI24,8
TUVHX,AS65,5
TUVHY,S365,4
TUVMA,AN12,63
TUVMB,AN26,25
TUVMC,C295,21
TYABT,C208,4
TZPJL,B190,6
URCAJ,AN12,61
URUZA,AN24,24
XTABV,E195,53
XTABZ,E195,53
XTALN,PC6T,3
YRAMD,B735,54
ZSBBC,E145,24
ZSCKS,BA4,18
ZSIBJ,B190,6
ZSLIZ,B350,7
ZSOXN,B190,6
ZSRZW,S3,3
ZSTOW,LJ35,9
ZSXAC,AT5T,4
ZSXCJ,AT72,22
ZSZBJ,B190,6
